image_path,tp,confusions,missed_gt,false_positive,error_score,categories,architecture,best_run
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0094_3.jpg,1,3,4,2,16,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0745_4.jpg,1,1,5,4,16,B3_B4_confusion;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0654_1.jpg,0,4,3,1,15,B2_B3_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0684_4.jpg,3,0,6,3,15,B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0154_3.jpg,2,0,5,5,15,B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0250_2.jpg,2,2,4,2,14,B3_B4_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0221_1.jpg,2,1,4,4,14,B3_B4_confusion;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0823_7.jpg,2,0,7,0,14,B4_missed,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0038_2.jpg,0,0,5,4,14,B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0413_4.jpg,2,0,5,4,14,B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0714_2.jpg,0,0,4,6,14,B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0362_3.jpg,1,3,3,1,13,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0211_1.jpg,1,2,4,1,13,B2_B3_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0279_1.jpg,1,1,5,1,13,B2_B3_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0293_4.jpg,1,0,5,3,13,B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0546_2.jpg,3,0,5,3,13,B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0043_2.jpg,0,4,2,0,12,B2_B3_confusion,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0066_2.jpg,1,3,2,2,12,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0413_2.jpg,3,3,2,2,12,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0834_1.jpg,1,3,2,2,12,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolo11m.pt,p1bfc_yolo11m_640_s1_e30p10m30
